Aceanthrylene,20,"Anthraceno-1',2',1,2-anthracene",277
"Acenaphth[1,2-a]anthracene",226,Anthracin,15
"Acenaphth[1,2-b]anthracene",231,Anthrodianthrene,374
Acenaphthalene,7,"Benz[4,10]anthra[1,9,8-abcd]coronene",625
Acenaphthene,8,"15H-Benz[4,5]indeno[1,2-l]phenanthrene",246
"Acenaphtho[1,2,3-cde]pyrene",158,"9H-Benz[4,5]indeno[2,1-c]phenanthrene",249
"Acenaphtho[1,2-b]phenanthrene",229,"7H-Benz[5,6]indeno[1,2-a]phenanthrene",251
"Acenaphtho[1,2-j]fluoranthene",256,"Benz[5,6]indeno[2,1-a]phenalene",179
"Acenaphtho[1,2-k]cyclopenta[cd]fluoranthene",312,"7H-Benz[5,6]indeno[2,1-a]phenanthrene",252
"Acenaphtho[1,2-k]fluoranthene",257,"9H-Benz[5,6]indeno[2,1-c]phenanthrene",245
"13H-Acenaphtho[1,8-ab]phenanthrene",146,Benz[a]aceanthrylene,68
Acenaphthylene,7,Benz[a]acenaphthylene,18
Aceperylene,110,Benz[a]acephenanthrylene,59
Acephenanthrene,19,"1,2:5,6-Ben z[a]anthracene",130
Acepyrene,33,Benz[a]anthracene,38
Acepyrylene,33,"Benz[a]indeno[1,2-c]fluorene",176
"[6] Annulene",1,"Benz[a]indeno[2,1-c]naphthalene",165
Anthanthrene,121,"Benz[a]indeno[5,6-g]fluorene",174
"Anthra[1,2,3,4-rst]pentaphene",567,Benz[a]ovalene,622
"Anthra[1,2-a]aceanthrylene",322,Benz[b]anthracene,40
"Anthra[1,2-a]anthracene",277,"Benz[b]indeno[2,1-h]fluorene",170
"Anthra[1,2-a]benz[j]anthracene",433,11H-Benz[bc]aceanthrylene,47
"Anthra[1,2-a]naphthacene",447,"Benz[c]indeno[2,1-a]fluorene",166
"Anthra[1,2-b]phenanthrene",299,Benz[d]aceanthrylene,67
"Anthra[1,9,8-abcd]benzo[hi]coronene",615,Benz[d]ovalene,629
"Anthra[2,1,9,8,7-defghi]benzo[op]pentacene",557,1H-Benz[de]anthracene,32
"Anthra[2,1,9,8,7-defghi]benzo[st]pentacene",550,"Benz[de]indeno[2,1-b]anthracene",178
"Anthra[2,1,9,8,7-defghi]benzo[uv]pentacene",552,"Benz[def]indeno[1,2,3-hi]chrysene",260
"Anthra[2,1,9,8-defgh]benzo[rst]pentaphene",541,"Benz[def]indeno[1,2,3-qr]chrysene",259
"Anthra[2,1,9,8-defgh]pentaphene",399,Benz[e]aceanthrylene,61
